Oil Consumption per capita (tonnes per year),1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Algeria,0.108110357,0.138431754,0.125510742,0.1299297,0.133069264,0.147822832,0.161514749,0.172184009,0.181964688,0.195566427,0.210885184,0.234496114,0.257789158,0.256514189,0.297712753,0.290731069,0.302894346,0.310763803,0.337671756,0.362057325,0.360480251,0.355022133,0.348655275,0.339834386,0.346723096,0.361908934,0.349741772,0.343136179,0.334156511,0.312420206,0.298074435,0.279988905,0.273091771,0.276911934,0.269444078,0.278314277,0.283872547,0.309905448,0.317546244,0.327138668,0.3356618,0.344978314,0.380591215,0.407019827,0.42632127,0.420094525
Argentina,0.984543492,1.002474935,1.012162115,1.019758908,1.044630152,0.914884396,0.963689488,0.934253625,0.919387637,0.901413471,0.840224933,0.864426282,0.890845099,0.856462628,0.910406134,0.814758359,0.756191162,0.721318462,0.718249776,0.704119765,0.62633754,0.664698018,0.69626287,0.685931193,0.614064491,0.560864901,0.584917092,0.58494295,0.575951381,0.564433507,0.559142463,0.577037855,0.592609326,0.610771237,0.574532261,0.548865715,0.512276569,0.454280626,0.462037421,0.47993288,0.508693842,0.526753639,0.589127111,0.609841096,0.591576106,0.635943801
Australia,1.487883154,1.559705205,1.665971111,1.798000714,1.880423678,1.920985591,1.986703416,1.947888836,2.093648576,2.121358321,2.057712422,2.11615103,2.180011745,2.141511235,2.151017838,2.018434093,1.96059352,1.880651311,1.777889086,1.830879603,1.706668974,1.752715713,1.756298342,1.804219498,1.843097862,1.847199192,1.778918819,1.762061361,1.843698232,1.899695667,1.947686818,1.961010472,1.999443675,1.976687545,2.006766557,1.967768175,1.966031905,1.936844584,1.929171799,1.929547426,1.952527407,1.996413375,1.975959835,1.973666877,1.926738288,1.913026109
Austria,0.761418352,0.82978076,0.882524212,1.016011547,1.110531901,1.214989523,1.350675291,1.451278149,1.56688746,1.398059576,1.409514128,1.532471726,1.466141142,1.585684172,1.654723167,1.614561683,1.464140293,1.387873625,1.340274008,1.30049689,1.300991148,1.37064177,1.406659816,1.388674303,1.360018572,1.406164099,1.505781988,1.456110657,1.455554315,1.426991794,1.419926146,1.462603185,1.487790397,1.543482875,1.510890712,1.472757546,1.592589644,1.613250627,1.737840129,1.680399602,1.721290407,1.715779417,1.61183511,1.608884215,1.553233061,1.548790966
Azerbaijan,,,,,,,,,,,,,,,,,,,,,1.229507398,1.269064375,1.176810769,1.187460191,1.140792757,1.178780236,1.11919777,1.073741677,1.05592711,0.945795389,0.846512685,0.756120536,0.71294157,0.745017834,0.711752448,0.779831835,0.487214495,0.442619379,0.509984024,0.539997557,0.622620053,0.559487154,0.509692085,0.37348495,0.352943616,0.35917261
Bangladesh,,,,,,,,0.011057253,0.012707926,0.013900169,0.015853863,0.016751343,0.01605883,0.016906295,0.018112719,0.019745878,0.019340372,0.017227126,0.015275589,0.017678144,0.018594854,0.018033124,0.017243275,0.018438509,0.019467942,0.018136729,0.015737401,0.016538814,0.018509401,0.018912034,0.024258013,0.02412267,0.027122571,0.02961459,0.025814598,0.024824011,0.029383548,0.028867976,0.029234932,0.029062261,0.032392541,0.031548223,0.03154276,0.031890914,0.032646366,0.032281466
Belarus,,,,,,,,,,,,,,,,,,,,,2.5203773,2.961408962,2.914091642,2.809998915,2.621318893,2.417322144,2.333603837,1.990876517,1.409817134,1.147076102,1.01350651,0.96140762,0.864530552,0.84637726,0.74726555,0.693590354,0.72718663,0.710401276,0.725050709,0.753334394,0.719585405,0.815090955,0.782568007,0.795811042,0.965129157,0.68782808
Brazil,0.176302634,0.186982989,0.188159112,0.220351425,0.235884713,0.26212205,0.283981714,0.318835565,0.385539129,0.406604162,0.410735725,0.43229019,0.434223053,0.466873946,0.484978423,0.463188872,0.432233861,0.429427051,0.40823209,0.408287013,0.410757102,0.444831306,0.446269975,0.449366004,0.448838451,0.429381774,0.427856289,0.440088394,0.440061993,0.453921478,0.470215862,0.494678133,0.520341235,0.53138441,0.538166266,0.525159652,0.525169556,0.511050619,0.483375123,0.480579002,0.484690306,0.493850676,0.525743489,0.549986565,0.55369665,0.599651789
Bulgaria,0.451238071,0.511280164,0.638590085,0.751659916,0.916979241,1.058475033,1.157808516,1.196856326,1.255970607,1.29978302,1.372021944,1.419895603,1.471623687,1.511299446,1.5534857,1.576701827,1.401481856,1.353243117,1.301623572,1.247119241,1.156419394,1.219312453,1.173064139,1.248098836,1.221747855,1.000803387,0.673221676,0.689377438,0.722648221,0.684026016,0.66785343,0.678350361,0.539887251,0.590262284,0.551999178,0.489748016,0.507061045,0.571163153,0.666189038,0.608921607,0.63728217,0.678976061,0.692317942,0.713568467,0.742442269,0.560423531
Canada,2.735795626,2.824515325,2.954169979,3.080349456,3.145586761,3.297622975,3.334613697,3.46377729,3.610531976,3.628502189,3.5056195,3.648602307,3.64246798,3.668598781,3.773137378,3.675272555,3.400424443,3.012586281,2.789810405,2.788495649,2.755064624,2.726490891,2.792290885,2.893770118,2.963341271,2.88121081,2.683756525,2.704944754,2.686475952,2.704261211,2.722467734,2.776228236,2.855186233,2.880523366,2.869652051,2.871619391,2.923541513,2.948078922,3.034557535,3.150552356,3.108004721,3.052638597,3.118106515,3.061382316,2.883406332,3.007355851
